"שם הצעת החוק","מדרג","מספר חוק",ניקוד", "קישור להצעת החוק", "הסבר הדירוג","הערות אחרות","הגיע להצבעה?","עבר?","יוזם ראשון","חתומים"
"הצעת חוק איסור הפליה במוצרים, בשירותים ובכניסה למקומות בידור ולמקומות ציבוריים (תיקון - הגדלת סכום הפיצוי בלא הוכחת נזק), התש"ף-2020",ohadcn@gmail.com,פ/1/23,-2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085573,"פגיעה חמורה בזכות הקניין, בגלל שזו רק הגדלת פיצוי מקבל -2 ולא -3",,0,0,פנינה תמנו
"הצעת חוק קליטת חיילים משוחררים (תיקון - מימוש כספי פיקדון בשל נגיף הקורונה) (הוראת שעה), התש"ף-2020",ohadcn@gmail.com,פ/2/23,2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2087276,"דרך חיובית להתמודד עם המצב",,1,0,עפר שלח,יוליה מלינובסקי קונין,משה אבוטבול,מירב כהן,יואב סגלוביץ',מתן כהנא,קטי קטרין שטרית,יואב קיש
"הצעת חוק לקביעת שעות ההצבעה בקלפיות ולקביעת היקף יום השבתון בבחירות לכנסת ולרשויות המקומיות (תיקוני חקיקה), התש"ף-2020",dup_laws_bot,פ/3/23,1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085575,"מקל את הנטל המוטל על ידי המדינהעל מעסיקים בשל יופ בחירות. ראה חוק פ/1384/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2083473",,0,0,אורי מקלב
"הצעת חוק-יסוד: הממשלה (תיקון - הפסקת כהונה של ראש ממשלה בממשלת מעבר שהוגש נגדו כתב אישום)",,פ/4/23,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085576,"",,0,0,עודד פורר,יוליה מלינובסקי קונין,יבגני סובה,אלי אבידר,חמד עמאר,אלכס קושניר
"הצעת חוק זכויות החולה (תיקון - זכות מטופל לקבל רשומות רפואיות), התש"ף-2020",bignafcomp@gmail.com,פ/5/23,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085578,"הטלת חובה על מוסדות סמי-ממשלתיים",,0,0,יעקב אשר,משה גפני,אורי מקלב
"הצעת חוק הביטוח הלאומי (תיקון - נכה שהגיע לגיל פרישה), התש"ף-2020",dup_laws_bot,פ/6/23,-2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085585,"הוצאה נוספת על חשבון משלם המיסים על דמי ביטוח לאומי, לא בעבורם (אלא לאנשים אחרים). מכריח תשלום כפוי של 'ביטוח' לאנשים אחרים. ראה חוק פ/442/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081836",,0,0,חוה אתי עטייה
"הצעת חוק איסור פרסום והפצת שמות נפגעים, התש"ף-2020",,פ/7/23,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085589,"",,0,0,ע'דיר כמאל מריח
"הצעת חוק הלוואות לדיור (תיקון - הלוואה כהון עצמי) (הוראת שעה), התש"ף-2020",bignafcomp@gmail.com,פ/8/23,-3,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085616,"יז",,0,0,אורלי לוי אבקסיס
"הצעת חוק העונשין (תיקון - איסור תיעוד של חיילי צבא ההגנה לישראל), התש"ף-2020",,פ/9/23,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085650,"",,0,0,מיכל שיר סגמן,מיכאל מלכיאלי
"הצעת חוק הביטוח הלאומי (תיקון - תגמול למשרתים במילואים), התש"ף-2020",dup_laws_bot,פ/10/23,1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085626,"שיפור קל לתנאי משרתי המילואים. ראה חוק פ/18/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081225",,0,0,עפר שלח,חילי טרופר
"הצעת חוק-יסוד: ישראל - מדינת הלאום של העם היהודי (תיקון - ביטול החוק)",,פ/11/23,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085592,"",,1,0,אוסאמה סעדי,אחמד טיבי,סונדוס סאלח
"הצעת חוק הפעלת תחבורה ציבורית ביום המנוחה השבועי, התש"ף-2020",dup_laws_bot,פ/12/23,-2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085644,"יז ראה חוק פ/113/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081212",,1,0,תמר זנדברג
